from_country,to_country,refugees
AFG,ARE,14
AFG,ARG,5
AFG,AUL,9217
AFG,AUS,20220
AFG,AZE,562
AFG,BEL,3201
AFG,BLR,227
AFG,BRA,98
AFG,BUL,170
AFG,CAN,3177
AFG,CHI,5
AFG,CHL,13
AFG,COL,8
AFG,CUB,45
AFG,CYP,7
AFG,CZE,234
AFG,DEN,2364
AFG,DOM,5
AFG,EST,23
AFG,FIJ,7
AFG,FIN,2216
AFG,FRA,7685
AFG,GBR,9752
AFG,GEO,5
AFG,GFR,46292
AFG,GRE,11440
AFG,HRV,39
AFG,HUN,1008
AFG,ICE,18
AFG,IND,7693
AFG,INS,4379
AFG,IRE,222
AFG,IRN,951142
AFG,IRQ,11
AFG,ITA,16033
AFG,JOR,8
AFG,JPN,49
AFG,KAZ,599
AFG,KEN,8
AFG,KGZ,242
AFG,KOR,33
AFG,LEB,22
AFG,LKA,75
AFG,LTU,205
AFG,LUX,43
AFG,LVA,44
AFG,MCD,5
AFG,MDA,19
AFG,MLS,252
AFG,MNG,5
AFG,NEP,59
AFG,NET,5791
AFG,NIG,5
AFG,NOR,6568
AFG,NRU,41
AFG,NZL,41
AFG,PAK,1352160
AFG,PHI,12
AFG,PNG,28
AFG,POL,92
AFG,POR,14
AFG,ROM,129
AFG,RSA,6
AFG,RUS,709
AFG,SEN,8
AFG,SPA,235
AFG,SRB,3449
AFG,SUD,6
AFG,SVK,287
AFG,SVN,36
AFG,SWE,16558
AFG,SWI,5675
AFG,SYR,1186
AFG,THA,54
AFG,TJK,2711
AFG,TKM,19
AFG,TUR,3423
AFG,UKR,1497
AFG,USA,1466
AFG,UZB,26
AFG,VEN,10
ALB,ARG,18
ALB,AUL,58
ALB,AUS,93
ALB,BEL,534
ALB,CAN,863
ALB,CZE,6
ALB,DEN,6
ALB,FIN,5
ALB,FRA,3568
ALB,GBR,2256
ALB,GFR,699
ALB,GRE,146
ALB,ICE,5
ALB,IRE,74
ALB,ITA,458
ALB,LUX,82
ALB,MEX,8
ALB,NET,8
ALB,NOR,17
ALB,SWE,351
ALB,SWI,67
ALB,USA,1738
ALG,ARG,31
ALG,AUL,10
ALG,AUS,53
ALG,BEL,46
ALG,BRA,7
ALG,CAN,360
ALG,CYP,8
ALG,DEN,5
ALG,FIN,18
ALG,FRA,1534
ALG,GBR,321
ALG,GFR,397
ALG,GRE,39
ALG,HUN,15
ALG,IRE,186
ALG,ITA,165
ALG,KOR,5
ALG,LBY,5
ALG,MOR,5
ALG,NET,20
ALG,NOR,21
ALG,NZL,6
ALG,PAK,17
ALG,POL,5
ALG,ROM,5
ALG,RSA,5
ALG,SEN,9
ALG,SPA,42
ALG,SWE,67
ALG,SWI,149
ALG,SYR,6
ALG,TUN,7
ALG,TUR,5
ALG,USA,131
ANG,ARG,14
ANG,AUS,105
ANG,BEL,91
ANG,BRA,1109
ANG,CAN,84
ANG,CAR,13
ANG,CMR,5
ANG,COB,317
ANG,COD,494
ANG,CZE,19
ANG,FIN,150
ANG,FRA,3408
ANG,GAB,5
ANG,GBR,272
ANG,GFR,748
ANG,GRE,5
ANG,HUN,5
ANG,IRE,237
ANG,ITA,44
ANG,KOR,5
ANG,LUX,15
ANG,MEX,5
ANG,NET,87
ANG,NOR,48
ANG,RWA,5
ANG,SPA,11
ANG,SWA,11
ANG,SWE,73
ANG,SWI,846
ANG,UKR,27
ANG,USA,130
ANT,CAN,77
ANT,USA,5
ARE,ALB,5
ARE,ARG,5
ARE,AUL,1550
ARE,AUS,168
ARE,BEL,50
ARE,BLR,5
ARE,BRA,17
ARE,BUL,8
ARE,CAN,1155
ARE,CYP,88
ARE,DEN,8
ARE,ETH,5
ARE,FIN,13
ARE,FRA,842
ARE,GBR,539
ARE,GEO,8
ARE,GFR,1079
ARE,GRE,159
ARE,HUN,14
ARE,INS,14
ARE,IRE,30
ARE,ITA,1672
ARE,JOR,69
ARE,KOR,14
ARE,LBY,5
ARE,LEB,35
ARE,LUX,5
ARE,LVA,5
ARE,MDA,5
ARE,MEX,5
ARE,MLS,5
ARE,MTA,67
ARE,NET,199
ARE,NOR,56
ARE,NZL,27
ARE,POL,50
ARE,ROM,17
ARE,RSA,5
ARE,SPA,11
ARE,SUD,16
ARE,SWE,341
ARE,SWI,95
ARE,SYR,28
ARE,THA,6
ARE,TUR,51
ARE,UKR,5
ARE,USA,11220
ARE,YEM,16
ARG,BRA,11
ARG,CAN,27
ARG,FRA,5
ARG,GFR,13
ARG,NET,5
ARG,USA,59
ARM,ARG,79
ARM,AUS,856
ARM,BEL,127
ARM,BLR,5
ARM,BRA,5
ARM,BUL,18
ARM,CAN,88
ARM,CYP,26
ARM,CZE,69
ARM,DEN,69
ARM,FRA,4117
ARM,GBR,42
ARM,GFR,1336
ARM,GRE,11
ARM,HUN,47
ARM,IRE,11
ARM,ITA,288
ARM,LIE,8
ARM,LTU,5
ARM,LUX,6
ARM,MDA,19
ARM,NET,457
ARM,NOR,10
ARM,POL,77
ARM,POR,5
ARM,SPA,19
ARM,SVK,10
ARM,SWE,593
ARM,SWI,117
ARM,UKR,194
ARM,USA,1993
AUL,GBR,5
AUL,GFR,5
AUL,SWE,5
AZE,ARM,2046
AZE,AUL,5
AZE,AUS,387
AZE,BEL,75
AZE,BLR,5
AZE,CAN,164
AZE,CZE,31
AZE,DEN,54
AZE,FIN,44
AZE,FRA,2926
AZE,GBR,79
AZE,GFR,2312
AZE,GRE,5
AZE,HRV,5
AZE,HUN,13
AZE,IRE,15
AZE,ITA,73
AZE,LTU,11
AZE,LUX,15
AZE,LVA,5
AZE,MDA,5
AZE,NET,317
AZE,NOR,52
AZE,RUS,19
AZE,SPA,33
AZE,SWE,874
AZE,SWI,85
AZE,TKM,7
AZE,TUR,5
AZE,UKR,157
AZE,USA,294
BAH,AUL,93
BAH,CAN,35
BAH,FRA,5
BAH,GBR,153
BAH,GFR,58
BAH,ITA,5
BAH,LEB,24
BAH,NZL,23
BAH,SWE,15
BAH,SWI,5
BAH,USA,45
BAR,CAN,144
BDI,ANG,9
BDI,ARE,22
BDI,ARG,5
BDI,AUL,55
BDI,AUS,17
BDI,BEL,454
BDI,BKF,32
BDI,BOT,45
BDI,BRA,39
BDI,CAN,1715
BDI,CAR,17
BDI,CMR,59
BDI,COB,96
BDI,COD,36332
BDI,DEN,6
BDI,ETH,57
BDI,FIN,5
BDI,FRA,509
BDI,GAB,8
BDI,GBR,70
BDI,GFR,69
BDI,GHA,10
BDI,GNB,11
BDI,GRE,7
BDI,GUI,5
BDI,ICO,24
BDI,IRE,23
BDI,ITA,18
BDI,JPN,8
BDI,KEN,1717
BDI,KOR,6
BDI,MAU,5
BDI,MLI,8
BDI,MLW,1642
BDI,MOZ,991
BDI,NAM,229
BDI,NET,397
BDI,NOR,98
BDI,PHI,9
BDI,RSA,2980
BDI,RWA,82886
BDI,SEN,52
BDI,SPA,5
BDI,SUD,13
BDI,SWA,149
BDI,SWE,243
BDI,SWI,64
BDI,TAN,230850
